dbn,school_name,school_type,fam_comm_ties_rating,trust_rating,pct_pos_fam_comm_ties,pct_pos_trust,pct_ell,pct_disabilities,pct_self_contained,economic_need_index,pct_temp_housing,pct_hra_eligible,pct_asian,pct_black,pct_hispanic,pct_white,student_attendance_rate
31R074,P.S. 74 Future Leaders Elementary School,Elementary,1.0,0.75,0.95,0.91,0.235,0.326,0.131,0.881,0.205,0.809,0.054,0.289,0.587,0.057,0.883
31R075,I.S. 075 Frank D. Paulo,Middle,0.75,1.0,0.93,0.93,0.018,0.224,0.058,0.286,0.033,0.226,0.099,0.017,0.124,0.744,0.943
31R078,P.S. 78,Elementary,0.75,0.75,0.94,0.89,0.086,0.39,0.184,0.942,0.185,0.901,0.032,0.422,0.478,0.032,0.9
31R080,The Michael J. Petrides School,K-8,0.75,1.0,0.93,0.91,0.019,0.312,0.033,0.461,0.023,0.343,0.094,0.192,0.277,0.419,0.944
31R861,Staten Island School of Civic Leadership,K-8,1.0,0.75,0.95,0.81,0.041,0.248,0.057,0.625,0.065,0.535,0.132,0.205,0.419,0.202,0.93
32K045,P.S./I.S. 045 Horace E. Greene,K-8,0.75,0.75,0.94,0.85,0.146,0.204,0.06,0.857,0.214,0.779,0.037,0.437,0.478,0.034,0.919
32K075,P.S. 075 Mayda Cortiella,Elementary,0.75,0.5,0.94,0.82,0.186,0.272,0.138,0.925,0.224,0.879,0.017,0.207,0.752,0.024,0.89
32K086,P.S. 086 The Irvington,Elementary,1.0,1.0,0.96,0.97,0.268,0.277,0.051,0.91,0.212,0.811,0.02,0.008,0.949,0.02,0.941
32K106,P.S. 106 Edward Everett Hale,Elementary,0.75,0.75,0.93,0.91,0.306,0.311,0.166,0.918,0.155,0.871,0.008,0.105,0.874,0.008,0.906
32K116,P.S. 116 Elizabeth L Farrell,Elementary,0.75,0.75,0.93,0.91,0.287,0.236,0.057,0.927,0.199,0.852,0.017,0.034,0.938,0.006,0.924
32K123,P.S. 123 Suydam,Elementary,1.0,0.75,0.95,0.88,0.363,0.171,0.054,0.88,0.143,0.799,0.06,0.022,0.889,0.02,0.943
